Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
sparrow,80,"brambling, Fringilla montifringilla (0.376380383968)",magpie (0.170657083392),"house finch, linnet, Carpodacus mexicanus (0.117601707578)","junco, snowbird (0.106212586164)","robin, American robin, Turdus migratorius (0.0541474446654)",jay (0.0318833217025),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0266073420644)","goldfinch, Carduelis carduelis (0.0265865921974)",chickadee (0.0257049910724),bulbul (0.0180007666349)
sheep,79,Mexican hairless (0.622379779816),triceratops (0.0560268424451),"African grey, African gray, Psittacus erithacus (0.0161137003452)","piggy bank, penny bank (0.0120191164315)","ocarina, sweet potato (0.0113361123949)","bonnet, poke bonnet (0.0111701004207)",standard poodle (0.0110518885776),schipperke (0.0107780760154),kelpie (0.00995040964335),"teddy, teddy bear (0.00730783119798)"
greyhound,40,"Scottish deerhound, deerhound (0.385811060667)",whippet (0.20985968411),"Saluki, gazelle hound (0.200807347894)",Italian greyhound (0.104901775718),Mexican hairless (0.0270562507212),Irish wolfhound (0.0220531634986),Great Dane (0.0176432020962),toy terrier (0.00533970631659),Egyptian cat (0.00441296771169),flat-coated retriever (0.0040124389343)
poloshirt,15,trench coat (0.409743905067),"jersey, T-shirt, tee shirt (0.235235989094)","suit, suit of clothes (0.134105294943)",fur coat (0.0709568858147),sweatshirt (0.0440574586391),"wool, woolen, woollen (0.0138354534283)","academic gown, academic robe, judge's robe (0.0138352941722)",poncho (0.0125262225047),velvet (0.00969056133181),cloak (0.00854078121483)
bison,56,bison (0.495635688305),"wild boar, boar, Sus scrofa (0.137097910047)","hog, pig, grunter, squealer, Sus scrofa (0.0628543198109)",ox (0.0356754250824),"American black bear, black bear, Ursus americanus, Euarctos americanus (0.0347125120461)",schipperke (0.0237055364996),curly-coated retriever (0.0229893438518),flat-coated retriever (0.0220089443028),"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.0153290219605)","ram, tup (0.0149936806411)"
diningtable,13,"dining table, board (0.453986734152)",desk (0.273850530386),"pool table, billiard table, snooker table (0.140258133411)","bathtub, bathing tub, bath, tub (0.0162524171174)",paper towel (0.0148177510127),"studio couch, day bed (0.00947034452111)","parallel bars, bars (0.00942896306515)","grand piano, grand (0.00715685915202)","tub, vat (0.00695273978636)",park bench (0.00565335666761)
firetruck,64,"racer, race car, racing car (0.118644282222)",tractor (0.115989878774),barbell (0.0958010032773),"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.0892552286386)","garbage truck, dustcart (0.0567490085959)",forklift (0.0566264502704),"tow truck, tow car, wrecker (0.0535706281662)",dumbbell (0.0422717817128),"plow, plough (0.0402596518397)","harvester, reaper (0.02825723961)"
goldfish,6,pinwheel (0.406886667013),spindle (0.167499527335),triceratops (0.041456155479),poncho (0.0408100485802),hair slide (0.0387249439955),"swab, swob, mop (0.0365470200777)","quill, quill pen (0.0325711630285)",agama (0.0313820466399),"feather boa, boa (0.0214082878083)",knot (0.0198447611183)
hummingbird,31,hummingbird (0.917083323002),jay (0.036420982331),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.027814052999)",bee eater (0.00933118537068),"European gallinule, Porphyrio porphyrio (0.00429127085954)",jacamar (0.00185856944881),magpie (0.00097241892945),bulbul (0.00067243311787),macaw (0.000451639702078),coucal (0.000360862381058)
dress,37,velvet (0.342100530863),gown (0.297754347324),overskirt (0.181047558784),"hoopskirt, crinoline (0.0711650550365)",sarong (0.0394407920539),apron (0.0322145596147),abaya (0.0102807907388),trench coat (0.00390699971467),bulletproof vest (0.00353315589018),stole (0.00347569677979)
rose,17,"bonnet, poke bonnet (0.150294885039)","hook, claw (0.0916208177805)",poncho (0.0611543320119),wig (0.0599251948297),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0574261173606)",pinwheel (0.0555084943771),mask (0.0423907600343),"feather boa, boa (0.0377088561654)",umbrella (0.0229722764343),"quill, quill pen (0.0216221939772)"
picnictable,2,"plow, plough (0.511156618595)",stretcher (0.173564165831),"assault rifle, assault gun (0.080532759428)","pool table, billiard table, snooker table (0.0256736464798)",power drill (0.0211314614862),rifle (0.0174240730703),pinwheel (0.0154433371499),hair slide (0.012717560865),desk (0.0087522752583),bow (0.00851345714182)
tulip,11,maraca (0.128850921988),"quill, quill pen (0.068685233593)","pick, plectrum, plectron (0.0509706884623)",hair slide (0.0392507575452),spatula (0.0288159400225),screwdriver (0.0286632347852),"hand blower, blow dryer, blow drier, hair dryer, hair drier (0.0226405169815)",spindle (0.0224059596658),paintbrush (0.0207590851933),vase (0.0195406544954)
eagle,9,"bald eagle, American eagle, Haliaeetus leucocephalus (0.947507321835)",kite (0.0377406515181),vulture (0.0121081629768),hornbill (0.000624339387286),"African grey, African gray, Psittacus erithacus (0.000543803907931)",black grouse (0.000204096504604),quail (0.000170522180269),"ruffed grouse, partridge, Bonasa umbellus (0.000158172959345)",hen (0.000117468640383),cock (0.000109891167085)
lobster,42,"American lobster, Northern lobster, Maine lobster, Homarus americanus (0.371919810772)",knot (0.26899844408),pinwheel (0.0583108514547),"crayfish, crawfish, crawdad, crawdaddy (0.056344229728)",scorpion (0.0561560988426),"bow tie, bow-tie, bowtie (0.0201749969274)",macaw (0.0138976210728),stole (0.0104632470757),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0101972958073)","wool, woolen, woollen (0.00989485625178)"
tshirt,34,"jersey, T-shirt, tee shirt (0.99062693119)",sweatshirt (0.00230694632046),maillot (0.00121756421868),abaya (0.000862916407641),poncho (0.000792729319073),vestment (0.000675986055285),velvet (0.00058478070423),cardigan (0.000483569165226),"suit, suit of clothes (0.000422695011366)","wool, woolen, woollen (0.000356359611033)"
