Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
sparrow,80,kite (0.203478053212),"brambling, Fringilla montifringilla (0.194817647338)","house finch, linnet, Carpodacus mexicanus (0.154561191797)","junco, snowbird (0.0740943700075)","robin, American robin, Turdus migratorius (0.0672867298126)","indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0508258230984)",ptarmigan (0.0368301346898),chickadee (0.0360288098454),jay (0.0356595925987),"quill, quill pen (0.0300621129572)"
sheep,79,"piggy bank, penny bank (0.125831276178)","bonnet, poke bonnet (0.0951235294342)",Mexican hairless (0.0623102486134),"white wolf, Arctic wolf, Canis lupus tundrarum (0.044992711395)",muzzle (0.0342289730906),"can opener, tin opener (0.027780059725)",oxygen mask (0.0260015912354),kuvasz (0.0221135057509),triceratops (0.0220494158566),Bedlington terrier (0.0207575466484)
greyhound,40,"Scottish deerhound, deerhound (0.461651057005)",Irish wolfhound (0.176337584853),"Saluki, gazelle hound (0.157843247056)",whippet (0.0993961393833),Weimaraner (0.0264809373766),Great Dane (0.0236548744142),Italian greyhound (0.0108831059188),"Ibizan hound, Ibizan Podenco (0.0093606878072)",Mexican hairless (0.00828899722546),Bedlington terrier (0.00571220461279)
poloshirt,15,"suit, suit of clothes (0.324930101633)",trench coat (0.226620674133),"jersey, T-shirt, tee shirt (0.21315330267)",sweatshirt (0.0576128698885),fur coat (0.04138854146),"wool, woolen, woollen (0.0242384765297)",velvet (0.0194185208529),"lab coat, laboratory coat (0.0165168810636)",military uniform (0.0110536981374),"academic gown, academic robe, judge's robe (0.00829171668738)"
bison,56,bison (0.601712226868),ox (0.161465495825),warthog (0.0498749651015),"wild boar, boar, Sus scrofa (0.0494832508266)","hog, pig, grunter, squealer, Sus scrofa (0.0376097038388)","water buffalo, water ox, Asiatic buffalo, Bubalus bubalis (0.0273136198521)","ibex, Capra ibex (0.0125536583364)","ram, tup (0.00649826601148)","clumber, clumber spaniel (0.00383822945878)","Newfoundland, Newfoundland dog (0.0037449663505)"
diningtable,13,desk (0.298012733459),"dining table, board (0.171211361885)",park bench (0.160717830062),paper towel (0.0354641638696),"studio couch, day bed (0.0318932719529)","hook, claw (0.0270604714751)","parallel bars, bars (0.0232993047684)","bathtub, bathing tub, bath, tub (0.0203443337232)",stretcher (0.0190067905933),folding chair (0.0126817058772)
firetruck,64,"garbage truck, dustcart (0.166510879993)","plow, plough (0.113599620759)",tractor (0.0646942183375),"snowplow, snowplough (0.0594490170479)","tow truck, tow car, wrecker (0.0535110831261)",forklift (0.0494671016932),"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.036049194634)",crane (0.0355435311794),"thresher, thrasher, threshing machine (0.028781119734)","fire engine, fire truck (0.0225484799594)"
goldfish,6,hair slide (0.102705173194),pinwheel (0.0741991326213),"quill, quill pen (0.0724977403879)","starfish, sea star (0.0697722733021)",knot (0.0694294422865),triceratops (0.0557584129274),screw (0.0467003546655),snail (0.0235217381269),"swab, swob, mop (0.0198322758079)",conch (0.0197215545923)
hummingbird,31,hummingbird (0.58434009552),jay (0.293774783611),"indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0502321980894)",bee eater (0.0226167384535),kite (0.0109775243327),"house finch, linnet, Carpodacus mexicanus (0.00561563810334)","European gallinule, Porphyrio porphyrio (0.00530330883339)",spoonbill (0.0032054358162),"little blue heron, Egretta caerulea (0.00317592639476)",bulbul (0.00278330058791)
dress,37,gown (0.558070421219),overskirt (0.13465860486),"hoopskirt, crinoline (0.104289568961)",velvet (0.0644014850259),sarong (0.0553954318166),apron (0.0462407171726),abaya (0.0124694835395),bulletproof vest (0.00837019365281),stole (0.00326065788977),Windsor tie (0.00171805918217)
rose,17,"hook, claw (0.159293830395)","bonnet, poke bonnet (0.0722131952643)",pinwheel (0.0480671003461),hourglass (0.044356405735),"quill, quill pen (0.040541883558)",wig (0.024023283273),velvet (0.0210936274379),whistle (0.0185829736292),mask (0.0175674315542),"gasmask, respirator, gas helmet (0.0173700768501)"
picnictable,2,stretcher (0.46187967062),"plow, plough (0.248007059097)","corkscrew, bottle screw (0.0302173905075)",park bench (0.029281584546),folding chair (0.0170496087521),"assault rifle, assault gun (0.0131981112063)","hook, claw (0.0129961585626)","can opener, tin opener (0.0127305779606)",hair slide (0.0101555883884),guillotine (0.00881143752486)
tulip,11,maraca (0.441565096378),"pick, plectrum, plectron (0.0761000141501)",nail (0.0295220836997),shovel (0.0283113084733),"hook, claw (0.0201336462051)",spatula (0.0182038545609),hair slide (0.014533912763),"mouse, computer mouse (0.0139758540317)","hand blower, blow dryer, blow drier, hair dryer, hair drier (0.0134142404422)",paintbrush (0.0132690789178)
eagle,9,"bald eagle, American eagle, Haliaeetus leucocephalus (0.875935852528)",kite (0.115544997156),vulture (0.00511708529666),"African grey, African gray, Psittacus erithacus (0.00131726171821)",black grouse (0.000453898275737),"ruffed grouse, partridge, Bonasa umbellus (0.000329270813381)","great grey owl, great gray owl, Strix nebulosa (0.000265314098215)","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita (0.000206122393138)",partridge (0.000122533645481),quail (9.22395629459e-05)
lobster,42,"American lobster, Northern lobster, Maine lobster, Homarus americanus (0.318835705519)",jellyfish (0.0761540904641),whistle (0.0695940107107),knot (0.0550185963511),scorpion (0.0531438402832),hair slide (0.0319607593119),maraca (0.0302886813879),"hand blower, blow dryer, blow drier, hair dryer, hair drier (0.0235674865544)",muzzle (0.0197332575917),"hook, claw (0.0180936418474)"
tshirt,34,"jersey, T-shirt, tee shirt (0.985678374767)",sweatshirt (0.00297254603356),vestment (0.00251577328891),maillot (0.00205014832318),abaya (0.00196307944134),poncho (0.000634374504443),bulletproof vest (0.00057567213662),velvet (0.000522038317285),"academic gown, academic robe, judge's robe (0.000413139961893)","wool, woolen, woollen (0.000335477699991)"
grizzlybear,3,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.687411725521)","brown bear, bruin, Ursus arctos (0.0689628124237)","Arctic fox, white fox, Alopex lagopus (0.0493106506765)",badger (0.0404600724578),"white wolf, Arctic wolf, Canis lupus tundrarum (0.0285853948444)",otter (0.0174050964415),mink (0.011629874818),beaver (0.00831426400691),weasel (0.00823327247053),"dugong, Dugong dugon (0.0061743776314)"
jellybeans,10,hair slide (0.836062312126),"rubber eraser, rubber, pencil eraser (0.0968758910894)",whistle (0.0174359716475),"pick, plectrum, plectron (0.00769478036091)",maraca (0.00565255014226),jigsaw puzzle (0.0055069476366),safety pin (0.00539000378922),"wool, woolen, woollen (0.00389330112375)",matchstick (0.00361464545131),necklace (0.00143321370706)
skittles,32,hair slide (0.366891086102),"rubber eraser, rubber, pencil eraser (0.1865850389)","pick, plectrum, plectron (0.0791128128767)",pill bottle (0.0498546361923),necklace (0.0487368293107),hourglass (0.0297134034336),thimble (0.0294721648097),whistle (0.0285421721637),joystick (0.0209733080119),maraca (0.0152997439727)
lily,76,pinwheel (0.94049268961),hair slide (0.0149062713608),"corkscrew, bottle screw (0.00619485322386)","can opener, tin opener (0.00450852373615)",street sign (0.00148239487316),"rocking chair, rocker (0.00132502894849)",nail (0.00113684521057),"starfish, sea star (0.00113291968592)","electric fan, blower (0.00109357433394)",folding chair (0.00105963496026)
gummybears,8,nipple (0.674173295498),whistle (0.0979600548744),"candle, taper, wax light (0.0711342319846)",hair slide (0.037279188633),beaker (0.0113529320806),pencil sharpener (0.0102362828329),"pick, plectrum, plectron (0.00900210626423)","rubber eraser, rubber, pencil eraser (0.00863120704889)",oxygen mask (0.00689756125212),"perfume, essence (0.00539061939344)"
hawaiishirt,18,fur coat (0.547753632069),vestment (0.0955313369632),kimono (0.0851359590888),"pajama, pyjama, pj's, jammies (0.060226675123)",stole (0.0495983101428),military uniform (0.0298277046531),bulletproof vest (0.0258257184178),velvet (0.0184190217406),cuirass (0.0140980100259),"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour (0.00940242037177)"
