Object,Object_Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10
suv,0,car wheel (0.198599398136),minivan (0.183862119913),"pickup, pickup truck (0.102205246687)","beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.0906760394573)","jeep, landrover (0.0623373128474)",minibus (0.0568678937852),"grille, radiator grille (0.0424946285784)",convertible (0.0408508628607),"cab, hack, taxi, taxicab (0.0305312052369)","sports car, sport car (0.0164051130414)"
dressshirt,1,trench coat (0.638972640038),"suit, suit of clothes (0.17611593008)",cardigan (0.0611432902515),sweatshirt (0.0398709438741),poncho (0.0183343980461),Windsor tie (0.0137614067644),"jersey, T-shirt, tee shirt (0.011712112464)",fur coat (0.0113019179553),velvet (0.00578867318109),"wool, woolen, woollen (0.00541871320456)"
picnictable,2,"plow, plough (0.0943966060877)",sunglass (0.0729062110186),"binder, ring-binder (0.0672578662634)",street sign (0.0587163567543),"loupe, jeweler's loupe (0.0461795665324)",muzzle (0.0452098175883),stretcher (0.0414746180177),"assault rifle, assault gun (0.0315446294844)",knot (0.0311311613768),scabbard (0.0290879867971)
grizzlybear,3,badger (0.273572832346),"American black bear, black bear, Ursus americanus, Euarctos americanus (0.239967256784)",mink (0.0874635651708),"brown bear, bruin, Ursus arctos (0.0787330940366)","polecat, fitch, foulmart, foumart, Mustela putorius (0.0578228980303)",otter (0.0570153780282),beaver (0.0532467551529),weasel (0.020991794765),"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus (0.0175775643438)","black-footed ferret, ferret, Mustela nigripes (0.0172373689711)"
husky,4,"Eskimo dog, husky (0.642431020737)",Siberian husky (0.322261035442),"Norwegian elkhound, elkhound (0.0186724923551)","malamute, malemute, Alaskan malamute (0.0137057956308)","German shepherd, German shepherd dog, German police dog, alsatian (0.00113653799053)","dogsled, dog sled, dog sleigh (0.000448892416898)",kelpie (0.000270006275969),"timber wolf, grey wolf, gray wolf, Canis lupus (0.000173158041434)","Cardigan, Cardigan Welsh corgi (0.000135502123157)",toy terrier (7.83285795478e-05)
parrot,5,"ballpoint, ballpoint pen, ballpen, Biro (0.181879207492)","quill, quill pen (0.125443354249)",fountain pen (0.0681458637118),"rubber eraser, rubber, pencil eraser (0.059865962714)",macaw (0.0555352345109),stretcher (0.0462703183293),ski (0.0452651120722),"binder, ring-binder (0.0443785153329)","rule, ruler (0.039796769619)",bow (0.0396808423102)
goldfish,6,"swab, swob, mop (0.247020885348)","wool, woolen, woollen (0.241706311703)",mitten (0.124984040856),spindle (0.0852626040578),stole (0.0345495566726),"quill, quill pen (0.030924865976)","indigo bunting, indigo finch, indigo bird, Passerina cyanea (0.0276485029608)","dishrag, dishcloth (0.0182823706418)",bath towel (0.0148518141359),pinwheel (0.01267194096)
minivan,7,minivan (0.494259923697),minibus (0.235002040863),moving van (0.0637514218688),"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.0537803694606)","pickup, pickup truck (0.0522101968527)","cab, hack, taxi, taxicab (0.016593798995)","jeep, landrover (0.0121067641303)","limousine, limo (0.0112237939611)",car wheel (0.0107051618397),"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria (0.0103246001527)"
gummybears,8,"pick, plectrum, plectron (0.164354637265)",whistle (0.0894423052669),"candle, taper, wax light (0.0883741378784)",nipple (0.0568530410528),beaker (0.0383346527815),plastic bag (0.0322109274566),vase (0.0287198461592),hair slide (0.0270810555667),"clog, geta, patten, sabot (0.0263063460588)",pinwheel (0.0253452211618)
eagle,9,"bald eagle, American eagle, Haliaeetus leucocephalus (0.834210574627)",kite (0.0869839563966),vulture (0.0251806229353),"African grey, African gray, Psittacus erithacus (0.0201156269759)","ruffed grouse, partridge, Bonasa umbellus (0.00978944730014)",black grouse (0.00715528521687),Kerry blue terrier (0.0029471591115),"great grey owl, great gray owl, Strix nebulosa (0.00261414027773)",hen (0.00136692996603),partridge (0.000769152655266)
jellybeans,10,"rubber eraser, rubber, pencil eraser (0.470689624548)",hair slide (0.45388892293),matchstick (0.0171687398106),"pick, plectrum, plectron (0.0164689477533)",whistle (0.0139742167667),abacus (0.00957245286554),maraca (0.00265075173229),jigsaw puzzle (0.00238358555362),"wool, woolen, woollen (0.00198122649454)","ballpoint, ballpoint pen, ballpen, Biro (0.00197443063371)"
tulip,11,"mantis, mantid (0.199615344405)","green lizard, Lacerta viridis (0.0551466606557)",syringe (0.0535005666316),vine snake (0.0460547283292),"walking stick, walkingstick, stick insect (0.0358272902668)","ant, emmet, pismire (0.0297507978976)","American chameleon, anole, Anolis carolinensis (0.0262416433543)","pick, plectrum, plectron (0.0219141952693)","rule, ruler (0.0217295605689)","ballpoint, ballpoint pen, ballpen, Biro (0.0208955015987)"
convertible,12,car wheel (0.895700931549),stethoscope (0.0138834351674),"French horn, horn (0.0138207254931)",reel (0.00795759819448),"bannister, banister, balustrade, balusters, handrail (0.00643101101741)","spotlight, spot (0.00576898921281)",combination lock (0.00509668700397),"disk brake, disc brake (0.00473735574633)","sports car, sport car (0.00361706106924)",analog clock (0.00265318178572)
diningtable,13,window shade (0.0960841178894),"notebook, notebook computer (0.0666747391224)",envelope (0.0528013035655),"dishwasher, dish washer, dishwashing machine (0.0502413287759)",space heater (0.0456192828715),"screen, CRT screen (0.0450386181474)",monitor (0.038327973336),"television, television system (0.0360554344952)",sliding door (0.0269624702632),"refrigerator, icebox (0.0206937603652)"
blackbear,14,"American black bear, black bear, Ursus americanus, Euarctos americanus (0.656280875206)",wombat (0.159023061395),"brown bear, bruin, Ursus arctos (0.0605954490602)",schipperke (0.0235535446554),"hog, pig, grunter, squealer, Sus scrofa (0.0125971855596)","sloth bear, Melursus ursinus, Ursus ursinus (0.0116587942466)",kelpie (0.00976492185146),"wild boar, boar, Sus scrofa (0.00754198385403)","Arctic fox, white fox, Alopex lagopus (0.00626694131643)",mink (0.0060687372461)
poloshirt,15,"jersey, T-shirt, tee shirt (0.477120697498)",trench coat (0.183057412505),"suit, suit of clothes (0.0806043222547)",sweatshirt (0.0524730421603),fur coat (0.0523706562817),"lab coat, laboratory coat (0.0239023994654)","wool, woolen, woollen (0.0222036987543)",cardigan (0.0176407191902),vestment (0.0164103712887),"academic gown, academic robe, judge's robe (0.011254562065)"
mnms,16,abacus (0.482604920864),croquet ball (0.336137473583),maraca (0.0878316536546),lemon (0.0286353770643),"rubber eraser, rubber, pencil eraser (0.0169301647693)",ping-pong ball (0.00902648456395),golf ball (0.00769020617008),bell pepper (0.0031565357931),balloon (0.00305941095576),Granny Smith (0.0026740853209)
