misspelling,spelling
grey,gray
slowerr,slower
bes,bed
its,it's
rodse,rose
coffe,coffee
whit\s,white 
wold,old
tbird,bird
ber,bear
bluw,blue
humming bird,hummingbird
convertable,convertible
huskie,husky
pidgeon,pigeon
hawain,hawaiian
hawaiin,hawaiian
picknick,picnic
piknik,picnic
dalamtion,dalmation
dalamtion,dalmation
t-shirt,t shirt
tshirt,t shirt
sheo,shep
shpered,shepherd
shepard,shepherd
^jeli$,jelly
^je$,jelly
jellybeanz,jellybeans
^je\s,jelly 
gummi\s,gummy 
bmmy,gummy
gummie\s,gummy 
^gummi$,gummy
floer\s,flower
flowerr\s,flower
flowe\s,flower 
flowre,flower
flowe$,flower
^m&m$,m&m's
^m&ms$,m&m's
^m and ms$,m&m's
^mms$,m&m's
^mm$,m&m's
^m m$,m&m's
^m & m's$,m&m's
^m and m$,m&m's
eminems,m&m's
^m &$,m&m's
^mnms$,m&m's
^m & ms$,m&m's
