"object_name","stim_type","sub_category","basic_category","super_category","object_ind"
"suv","target","suv","car","vehicle",0
"dressshirt","target","dressshirt","shirt","clothing",1
"picnictable","target","picnictable","table","furniture",2
"grizzlybear","target","grizzlybear","bear","animal",3
"husky","target","husky","dog","animal",4
"parrot","target","parrot","bird","animal",5
"goldfish","target","goldfish","fish","animal",6
"minivan","target","minivan","car","vehicle",7
"gummybears","target","gummybears","candy","snack",8
"eagle","target","eagle","bird","animal",9
"jellybeans","target","jellybeans","candy","snack",10
"tulip","target","tulip","flower","plant",11
"convertible","target","convertible","car","vehicle",12
"diningtable","target","diningtable","table","furniture",13
"blackbear","target","blackbear","bear","animal",14
"poloshirt","target","poloshirt","shirt","clothing",15
"mnms","target","mnms","candy","snack",16
"rose","target","rose","flower","plant",17
"hawaiishirt","target","hawaiishirt","shirt","clothing",18
"pigeon","target","pigeon","bird","animal",19
"coffeetable","target","coffeetable","table","furniture",20
"polarbear","target","polarbear","bear","animal",21
"pug","target","pug","dog","animal",22
"germanshepherd","target","germanshepherd","dog","animal",23
"daisy","target","daisy","flower","plant",24
"swordfish","target","swordfish","fish","animal",25
"pandabear","target","pandabear","bear","animal",26
"dalmatian","target","dalmatian","dog","animal",27
"catfish","target","catfish","fish","animal",28
"bedsidetable","target","bedsidetable","table","furniture",29
"sportscar","target","sportscar","car","vehicle",30
"hummingbird","target","hummingbird","bird","animal",31
"skittles","target","skittles","candy","snack",32
"sunflower","target","sunflower","flower","plant",33
"tshirt","target","tshirt","shirt","clothing",34
"clownfish","target","clownfish","fish","animal",35
"ambulance","distractor","ambulance","NA","vehicle",36
"dress","distractor","dress","NA","clothing",37
"sidetable","distractor","sidetable","NA","furniture",38
"koalabear","distractor","koalabear","NA","animal",39
"greyhound","distractor","greyhound","NA","animal",40
"train","distractor","train","NA","vehicle",41
"lobster","distractor","lobster","NA","animal",42
"lamp","distractor","lamp","NA","furniture",43
"grasses","distractor","grasses","NA","plant",44
"chips","distractor","chips","NA","snack",45
"horse","distractor","horse","NA","animal",46
"motorcycle","distractor","motorcycle","NA","vehicle",47
"lion","distractor","lion","NA","animal",48
"rhino","distractor","rhino","NA","animal",49
"popcorn","distractor","popcorn","NA","snack",50
"elephant","distractor","elephant","NA","animal",51
"crocodile","distractor","crocodile","NA","animal",52
"iguana","distractor","iguana","NA","animal",53
"cow","distractor","cow","NA","animal",54
"squirrel","distractor","squirrel","NA","animal",55
"bison","distractor","bison","NA","animal",56
"bookcase","distractor","bookcase","NA","furniture",57
"candycorn","distractor","candycorn","NA","snack",58
"wardrobe","distractor","wardrobe","NA","furniture",59
"rabbit","distractor","rabbit","NA","animal",60
"cookies","distractor","cookies","NA","snack",61
"pottedplant","distractor","pottedplant","NA","plant",62
"hamster","distractor","hamster","NA","animal",63
"firetruck","distractor","firetruck","NA","vehicle",64
"gloves","distractor","gloves","NA","clothing",65
"rosemary","distractor","rosemary","NA","plant",66
"discusfish","distractor","discusfish","NA","animal",67
"pig","distractor","pig","NA","animal",68
"bed","distractor","bed","NA","furniture",69
"bathrobe","distractor","bathrobe","NA","clothing",70
"pretzels","distractor","pretzels","NA","snack",71
"snake","distractor","snake","NA","animal",72
"socks","distractor","socks","NA","clothing",73
"campshirt","distractor","campshirt","NA","clothing",74
"sedan","distractor","sedan","NA","vehicle",75
"lily","distractor","lily","NA","plant",76
"ivy","distractor","ivy","NA","plant",77
"kitten","distractor","kitten","NA","animal",78
"sheep","distractor","sheep","NA","animal",79
"sparrow","distractor","sparrow","NA","animal",80
